,dataset,k,r,w,v,reduction,acc,eff,storage
0,vowel,1,2,eq,maj,,1.0,0.03897428512573242,1
0,vowel,1,2,eq,maj,,1.0,0.03887462615966797,1
0,vowel,1,2,eq,maj,,0.98989898989899,0.03894305229187012,1
0,vowel,1,2,eq,maj,,0.98989898989899,0.03693366050720215,1
0,vowel,1,2,eq,inv,,0.9595959595959596,0.03592562675476074,1
0,vowel,1,2,eq,inv,,0.9797979797979798,0.036900997161865234,1
0,vowel,1,2,eq,inv,,0.98989898989899,0.03789854049682617,1
0,vowel,1,2,eq,inv,,1.0,0.03789377212524414,1
0,vowel,1,2,eq,inv,,1.0,0.036900997161865234,1
0,vowel,1,2,eq,inv,,0.9797979797979798,0.03686785697937012,1
0,vowel,1,2,eq,inv,,1.0,0.03896474838256836,1
0,vowel,1,2,eq,inv,,1.0,0.03792572021484375,1
0,vowel,1,2,eq,inv,,0.98989898989899,0.03687119483947754,1
0,vowel,1,2,eq,inv,,0.98989898989899,0.03690671920776367,1
0,vowel,1,2,eq,shep,,0.9595959595959596,0.03789329528808594,1
0,vowel,1,2,eq,shep,,0.9797979797979798,0.03589606285095215,1
0,vowel,1,2,eq,shep,,0.98989898989899,0.03692936897277832,1
0,vowel,1,2,eq,shep,,1.0,0.03590726852416992,1
0,vowel,1,2,eq,shep,,1.0,0.035903215408325195,1
0,vowel,1,2,eq,shep,,0.9797979797979798,0.03391242027282715,1
0,vowel,1,2,eq,shep,,1.0,0.03690528869628906,1
0,vowel,1,2,eq,shep,,1.0,0.032911062240600586,1
0,vowel,1,2,eq,shep,,0.98989898989899,0.038895368576049805,1
0,vowel,1,2,eq,shep,,0.98989898989899,0.03790020942687988,1
0,vowel,1,2,mi,maj,,0.98989898989899,0.18448114395141602,1
0,vowel,1,2,mi,maj,,1.0,0.1795186996459961,1
0,vowel,1,2,mi,maj,,1.0,0.18450379371643066,1
0,vowel,1,2,mi,maj,,1.0,0.18249750137329102,1
0,vowel,1,2,mi,maj,,1.0,0.17652368545532227,1
0,vowel,1,2,mi,maj,,0.9696969696969697,0.18151378631591797,1
0,vowel,1,2,mi,maj,,0.98989898989899,0.17556428909301758,1
0,vowel,1,2,mi,maj,,1.0,0.18453645706176758,1
0,vowel,1,2,mi,maj,,0.98989898989899,0.18054461479187012,1
0,vowel,1,2,mi,maj,,0.98989898989899,0.18447184562683105,1
0,vowel,1,2,mi,inv,,0.98989898989899,0.1795506477355957,1
0,vowel,1,2,mi,inv,,1.0,0.18450665473937988,1
0,vowel,1,2,mi,inv,,1.0,0.1794874668121338,1
0,vowel,1,2,mi,inv,,1.0,0.1795649528503418,1
0,vowel,1,2,mi,inv,,1.0,0.179487943649292,1
0,vowel,1,2,mi,inv,,0.9696969696969697,0.18347620964050293,1
0,vowel,1,2,mi,inv,,1.0,0.18158459663391113,1
0,vowel,1,2,mi,inv,,1.0,0.17855000495910645,1
0,vowel,1,2,mi,inv,,0.98989898989899,0.18051767349243164,1
0,vowel,1,2,mi,inv,,0.98989898989899,0.18350481986999512,1
0,vowel,1,2,mi,shep,,0.98989898989899,0.17954730987548828,1
0,vowel,1,2,mi,shep,,1.0,0.17851901054382324,1
0,vowel,1,2,mi,shep,,1.0,0.18251252174377441,1
0,vowel,1,2,mi,shep,,1.0,0.1775979995727539,1
0,vowel,1,2,mi,shep,,1.0,0.185530424118042,1
0,vowel,1,2,mi,shep,,0.9696969696969697,0.18048381805419922,1
0,vowel,1,2,mi,shep,,0.98989898989899,0.18451285362243652,1
0,vowel,1,2,mi,shep,,1.0,0.17852497100830078,1
0,vowel,1,2,mi,shep,,0.98989898989899,0.18054580688476562,1
0,vowel,1,2,mi,shep,,0.98989898989899,0.18248343467712402,1
0,vowel,1,2,chi,maj,,0.98989898989899,0.040920257568359375,1
0,vowel,1,2,chi,maj,,0.98989898989899,0.03992438316345215,1
0,vowel,1,2,chi,maj,,1.0,0.03892350196838379,1
0,vowel,1,2,chi,maj,,0.98989898989899,0.04188871383666992,1
0,vowel,1,2,chi,maj,,1.0,0.03792595863342285,1
0,vowel,1,2,chi,maj,,0.98989898989899,0.03989219665527344,1
0,vowel,1,2,chi,maj,,0.98989898989899,0.039893150329589844,1
0,vowel,1,2,chi,maj,,0.98989898989899,0.0409238338470459,1
0,vowel,1,2,chi,maj,,1.0,0.03986525535583496,1
0,vowel,1,2,chi,maj,,0.98989898989899,0.04385733604431152,1
